tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
18.2,14.4,24.4,0.0,,313.0,14.4,,1012.6,
18.7,15.0,23.3,0.0,,295.0,16.9,,1014.7,
17.5,13.9,21.7,0.0,,283.0,13.7,,1015.2,
16.6,13.3,20.6,0.0,,287.0,12.2,,1016.1,
17.6,13.9,26.7,0.0,,313.0,10.1,,1013.4,
18.2,13.9,23.3,0.0,,300.0,11.9,,1011.1,
19.0,14.4,26.7,0.0,,302.0,12.6,,1014.2,
17.0,12.8,22.2,0.0,,311.0,15.1,,1016.8,
16.2,13.3,22.2,0.0,,304.0,12.2,,1018.0,
15.9,12.8,21.7,0.0,,300.0,11.2,,1016.8,
16.7,13.3,22.8,0.0,,287.0,11.9,,1015.0,
16.2,12.8,22.2,0.0,,288.0,15.1,,1013.0,
16.4,12.8,24.4,0.0,,315.0,13.0,,1012.6,
16.1,13.3,22.8,0.0,,312.0,14.8,,1013.3,
17.7,14.4,23.9,0.0,,317.0,15.5,,1014.5,
17.5,13.9,22.2,0.0,,316.0,15.5,,1016.0,
16.2,13.9,20.0,0.0,,298.0,14.0,,1014.1,
17.1,15.0,21.1,0.0,,273.0,17.6,,1013.2,
17.5,16.1,21.1,0.0,,288.0,16.9,,1014.3,
17.7,16.1,21.1,0.0,,295.0,13.3,,1016.0,
18.4,15.6,27.8,0.0,,307.0,9.0,,1016.3,
21.2,15.6,27.2,0.0,,308.0,11.5,,1016.3,
18.8,15.6,25.0,0.0,,303.0,10.8,,1014.2,
19.8,16.1,27.2,0.0,,317.0,15.1,,1012.4,
19.4,16.7,25.0,0.0,,298.0,14.8,,1014.8,
19.5,16.7,22.8,0.0,,289.0,14.4,,1016.4,
18.9,16.7,22.8,0.0,,299.0,16.6,,1017.0,
18.9,16.1,23.3,0.0,,277.0,16.9,,1016.5,
19.5,16.7,23.9,0.0,,290.0,16.9,,1016.1,
20.0,17.8,25.6,0.0,,298.0,14.4,,1018.4,
19.6,17.2,23.3,0.0,,270.0,16.2,,1018.4,
18.7,16.1,22.2,0.0,,253.0,14.0,,1017.5,
18.6,13.9,23.9,0.0,,287.0,9.4,,1016.8,
18.9,13.9,27.8,0.0,,318.0,10.8,,1015.0,
19.6,14.4,29.4,0.0,,283.0,8.3,,1011.5,
21.6,14.4,32.2,0.0,,317.0,7.9,,1009.3,
21.7,15.6,28.3,0.0,,308.0,10.8,,1012.0,
18.7,13.3,25.0,0.0,,306.0,12.2,,1014.2,
17.9,15.0,22.8,0.0,,275.0,10.8,,1011.5,
19.6,14.4,28.3,0.0,,307.0,11.2,,1009.7,
18.7,13.3,25.0,0.0,,311.0,13.0,,1015.5,
18.4,14.4,25.6,0.0,,276.0,12.2,,1016.8,
19.7,16.1,27.8,0.0,,286.0,10.8,,1011.0,
18.5,15.6,26.1,0.0,,296.0,10.8,,1010.7,
18.4,15.6,26.1,0.0,,285.0,13.3,,1014.6,
18.9,15.0,25.6,0.0,,298.0,12.6,,1014.2,
18.5,15.0,25.6,0.0,,302.0,11.9,,1010.9,
18.1,15.6,23.9,0.0,,286.0,13.0,,1010.6,
18.5,15.6,23.9,0.0,,328.0,12.6,,1013.1,
18.3,14.4,23.9,0.0,,321.0,11.9,,1015.7,
18.1,15.0,23.9,0.0,,321.0,10.1,,1015.4,
19.2,13.3,27.2,0.0,,325.0,9.4,,1011.6,
17.6,13.3,23.3,0.0,,301.0,10.1,,1012.3,
19.9,15.0,27.2,0.0,,273.0,9.0,,1013.9,
